Warehouse,Country,Region/State,Zip/Postal Code,# of Items (and above),Method,Shipping Price
0,USA,AK,,1,1,19.8
0,USA,AK,,2,1,21.8
0,USA,AK,,3,1,23.8
0,USA,AK,,4,1,25.8
0,USA,AK,,5,1,27.8
0,USA,AK,,6,1,29.8
0,USA,AK,,7,1,31.8
0,USA,AK,,8,1,33.8
0,USA,AK,,9,1,35.8
0,USA,AK,,10,1,37.8
0,USA,AK,,11,1,39.8
0,USA,AK,,12,1,41.8
0,USA,AK,,13,1,43.8
0,USA,AK,,14,1,45.8
0,USA,AK,,15,1,47.8
0,USA,AK,,16,1,49.8
0,USA,AK,,17,1,51.8
0,USA,AK,,18,1,53.8
0,USA,AK,,19,1,55.8
0,USA,AK,,20,1,57.8
0,USA,AK,,21,1,59.8
0,USA,AK,,22,1,61.8
0,USA,AK,,23,1,63.8
0,USA,AK,,24,1,65.8
0,USA,AK,,25,1,67.8
0,USA,AK,,26,1,69.8
0,USA,AK,,27,1,71.8
0,USA,AK,,28,1,73.8
0,USA,AK,,29,1,75.8
0,USA,AK,,30,1,77.8
0,USA,AK,,31,1,79.8
0,USA,AK,,32,1,81.8
0,USA,AK,,33,1,83.8
0,USA,AK,,34,1,85.8
0,USA,AK,,35,1,87.8
0,USA,AK,,36,1,89.8
0,USA,AK,,37,1,91.8
0,USA,AK,,38,1,93.8
0,USA,AK,,39,1,95.8
0,USA,AK,,40,1,97.8
0,USA,AK,,41,1,99.8
0,USA,AK,,42,1,101.8
0,USA,AK,,43,1,103.8
0,USA,AK,,44,1,105.8
0,USA,AK,,45,1,107.8
0,USA,AK,,46,1,109.8
0,USA,AK,,47,1,111.8
0,USA,AK,,48,1,113.8
0,USA,AK,,49,1,115.8
0,USA,AK,,50,1,117.8
0,USA,AK,,51,1,119.8
0,USA,AK,,52,1,121.8
0,USA,AK,,53,1,123.8
0,USA,AK,,54,1,125.8
0,USA,AK,,55,1,127.8
0,USA,AK,,56,1,129.8
0,USA,AK,,57,1,131.8
0,USA,AK,,58,1,133.8
0,USA,AK,,59,1,135.8
0,USA,AK,,60,1,137.8
0,USA,AK,,61,1,139.8
0,USA,AK,,62,1,141.8
0,USA,AK,,63,1,143.8
0,USA,AK,,64,1,145.8
0,USA,AK,,65,1,147.8
0,USA,AK,,66,1,149.8
0,USA,AK,,67,1,151.8
0,USA,AK,,68,1,153.8
0,USA,AK,,69,1,155.8
0,USA,AK,,70,1,157.8
0,USA,AK,,71,1,159.8
0,USA,AK,,72,1,161.8
0,USA,AK,,73,1,163.8
0,USA,AK,,74,1,165.8
0,USA,AK,,75,1,167.8
0,USA,AK,,76,1,169.8
0,USA,AK,,77,1,171.8
0,USA,AK,,78,1,173.8
0,USA,AK,,79,1,175.8
0,USA,AK,,80,1,177.8
0,USA,AK,,81,1,179.8
0,USA,AK,,82,1,181.8
0,USA,AK,,83,1,183.8
0,USA,AK,,84,1,185.8
0,USA,AK,,85,1,187.8
0,USA,AK,,86,1,189.8
0,USA,AK,,87,1,191.8
0,USA,AK,,88,1,193.8
0,USA,AK,,89,1,195.8
0,USA,AK,,90,1,197.8
0,USA,AK,,91,1,199.8
0,USA,AK,,92,1,201.8
0,USA,AK,,93,1,203.8
0,USA,AK,,94,1,205.8
0,USA,AK,,95,1,207.8
0,USA,AK,,96,1,209.8
0,USA,AK,,97,1,211.8
0,USA,AK,,98,1,213.8
0,USA,AK,,99,1,215.8
